LOADCOMMANDID,ISSUEDATE,DATEOFSERVICE,UPDATETIME,ISPRIMARY,SERVICEPDSTART,PENDESCALATIONFORBULK,ID,DEDUCTIONTYPE,PAYTODENORM,CREATEUSERID,PAYTO,MAILINGADDRESSID,RECURRINGCHECKID,BEANVERSION,RETIRED,BANKACCOUNTTYPE,CHECKINSTRUCTIONS,UPDATEUSERID,INVOICENUMBER,BULKINVOICEITEMINFOID,ACCOUNTNAME,MEMO,PORTIONID,CHECKTYPE,MAILTOADDRESS,PUBLICID,ENTEREDTIME,BANKNAME,CREATETIME,CHECKNUMBER,SERVICEPDEND,BANKROUTINGNUMBER,DELIVERYMETHOD,CLAIMID,GROUPID,SCHEDULEDSENDDATE,REPORTABLEAMOUNT,PAYMENTMETHOD,ARCHIVEPARTITION,CHECKBATCHING,BANKACCOUNT,MAILTO,STATUS,COMMENTS,CHECKSETID,REPORTABILITY,BANKACCOUNTNUMBER,CLAIMCONTACTID
,,,2018-02-23 15:45:52.685,,,0,213,,StatefarminsurancemutualcompanStatefarminsurancemutualcompan,3,StatefarminsurancemutualcompanStatefarminsurancemutualcompan,1771,201.0,0,0,,,3,,,,Claim AA00028,,1,,cc:213,2018-02-23 15:45:52.685,,2018-02-23 15:45:52.685,,,,10003,540,,2019-01-01 00:00:00.000,120.0,2,,10001,,Statefarminsurancem,7,,306,2,,
,,,2018-02-26 06:14:22.778,,,0,214,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,1783,,0,0,,,3,,,,Claim AA00082,,1,,cc:214,2018-02-26 06:14:22.778,,2018-02-26 06:14:22.778,,,,10003,1120,,2018-02-26 00:00:00.000,5000000.0,2,,10001,,PETROCELLI MICHAEL,7,,307,1,,1252.0
,,,2018-02-26 07:30:02.431,,,0,215,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,1784,,3,0,,,2,,,,Claim AA00008,,1,,cc:215,2018-02-26 07:24:11.951,,2018-02-26 07:24:11.951,f2345678,,,10003,206,,2018-02-26 00:00:00.000,2000.0,2,,10001,,PETROCELLI MICHAEL,14,,309,1,,214.0
,,,2018-02-26 07:30:02.572,,,0,216,,James Bryns,3,James Bryns,1785,,2,0,,,2,,,,Claim AA00008,,1,,cc:216,2018-02-26 07:26:28.865,,2018-02-26 07:26:28.865,,,,10003,206,,2018-02-26 00:00:00.000,4000.0,2,,10001,,James Bryns,14,,310,1,,214.0
,,,2018-02-26 07:30:02.697,,,0,217,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,1786,,2,0,,,2,,,,Claim AA00008,,1,,cc:217,2018-02-26 07:28:46.795,,2018-02-26 07:28:46.795,,,,10003,206,,2018-02-26 00:00:00.000,6000.0,2,,10001,,PETROCELLI MICHAEL,14,,311,1,,214.0
,,,2018-02-26 14:00:02.505,,,0,301,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,1881,,1,0,,,2,,,,Claim AA00096,,1,,cc:301,2018-02-26 13:42:14.143,,2018-02-26 13:42:14.143,,,,10003,1215,,2018-02-26 00:00:00.000,6000.0,2,,10001,,PETROCELLI MICHAEL,14,,415,1,,1344.0
,,,2018-02-27 08:00:02.599,,,0,401,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,2017,,1,0,,,2,,,,Claim AA00107,,1,,cc:401,2018-02-27 07:49:28.994,,2018-02-27 07:49:28.994,,,,10003,1304,,2018-02-27 00:00:00.000,6000.0,2,,10001,,PETROCELLI MICHAEL,14,,508,1,,1410.0
,,,2018-02-27 15:30:02.561,,,0,501,,James Bryns,3,James Bryns,2101,,2,0,,,2,,,,Claim AA00082,,1,,cc:501,2018-02-27 14:39:50.245,,2018-02-27 14:39:50.245,,,,10003,1120,,2018-02-27 00:00:00.000,6000.0,2,,10001,,James Bryns,14,,602,1,,1252.0
,,,2018-02-27 15:30:02.842,,,0,502,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,2102,,2,0,,,2,,,,Claim AA00082,,1,,cc:502,2018-02-27 14:44:08.902,,2018-02-27 14:44:08.902,,,,10003,1120,,2018-02-27 00:00:00.000,6000.0,2,,10001,,PETROCELLI MICHAEL,14,,604,1,,1251.0
,,,2018-02-27 15:00:02.552,,,0,503,,PETROCELLI MICHAEL,3,PETROCELLI MICHAEL,2107,,1,0,,,2,,,,Claim AA00109,,1,,cc:503,2018-02-27 14:50:46.739,,2018-02-27 14:50:46.739,,,,10003,1401,,2018-02-27 00:00:00.000,6000.0,2,,10001,,PETROCELLI MICHAEL,14,,606,1,,1501.0
